Season,MatchDate,HomeTeam,AwayTeam,home_ppg_season,home_gd_per_game_season,home_ppg_home_only,home_ppg_last5,home_goals_scored_last5,home_goals_conceded_last5,away_ppg_season,away_gd_per_game_season,away_ppg_away_only,away_ppg_last5,away_goals_scored_last5,away_goals_conceded_last5,h2h_home_winrate,h2h_home_avg_gd,result
2000/01,2000-08-19,Charlton,Man City,1.359954865766948,-0.01771226946541878,1.590232567787715,1.3481945965680906,1.3339777290982109,1.3731690397955458,1.3870104084802695,0.019575240066705624,1.1574642504054269,1.4057758305951078,1.3733497626871123,1.3323859072654252,0.3593727617573768,-0.06083748964990056,H
2000/01,2000-08-19,Chelsea,West Ham,1.359954865766948,-0.01771226946541878,1.590232567787715,1.3481945965680906,1.3339777290982109,1.3731690397955458,1.3870104084802695,0.019575240066705624,1.1574642504054269,1.4057758305951078,1.3733497626871123,1.3323859072654252,0.3593727617573768,-0.06083748964990056,H
2000/01,2000-08-19,Coventry,Middlesbrough,1.359954865766948,-0.01771226946541878,1.590232567787715,1.3481945965680906,1.3339777290982109,1.3731690397955458,1.3870104084802695,0.019575240066705624,1.1574642504054269,1.4057758305951078,1.3733497626871123,1.3323859072654252,0.3593727617573768,-0.06083748964990056,A
2000/01,2000-08-19,Derby,Southampton,1.359954865766948,-0.01771226946541878,1.590232567787715,1.3481945965680906,1.3339777290982109,1.3731690397955458,1.3870104084802695,0.019575240066705624,1.1574642504054269,1.4057758305951078,1.3733497626871123,1.3323859072654252,0.3593727617573768,-0.06083748964990056,D
2000/01,2000-08-19,Leeds,Everton,1.359954865766948,-0.01771226946541878,1.590232567787715,1.3481945965680906,1.3339777290982109,1.3731690397955458,1.3870104084802695,0.019575240066705624,1.1574642504054269,1.4057758305951078,1.3733497626871123,1.3323859072654252,0.3593727617573768,-0.06083748964990056,H
2000/01,2000-08-19,Leicester,Aston Villa,1.359954865766948,-0.01771226946541878,1.590232567787715,1.3481945965680906,1.3339777290982109,1.3731690397955458,1.3870104084802695,0.019575240066705624,1.1574642504054269,1.4057758305951078,1.3733497626871123,1.3323859072654252,0.3593727617573768,-0.06083748964990056,D
2000/01,2000-08-19,Liverpool,Bradford,1.359954865766948,-0.01771226946541878,1.590232567787715,1.3481945965680906,1.3339777290982109,1.3731690397955458,1.3870104084802695,0.019575240066705624,1.1574642504054269,1.4057758305951078,1.3733497626871123,1.3323859072654252,0.3593727617573768,-0.06083748964990056,H
2000/01,2000-08-19,Sunderland,Arsenal,1.359954865766948,-0.01771226946541878,1.590232567787715,1.3481945965680906,1.3339777290982109,1.3731690397955458,1.3870104084802695,0.019575240066705624,1.1574642504054269,1.4057758305951078,1.3733497626871123,1.3323859072654252,0.3593727617573768,-0.06083748964990056,H
2000/01,2000-08-19,Tottenham,Ipswich,1.359954865766948,-0.01771226946541878,1.590232567787715,1.3481945965680906,1.3339777290982109,1.3731690397955458,1.3870104084802695,0.019575240066705624,1.1574642504054269,1.4057758305951078,1.3733497626871123,1.3323859072654252,0.3593727617573768,-0.06083748964990056,H
2000/01,2000-08-20,Man United,Newcastle,1.359954865766948,-0.01771226946541878,1.590232567787715,1.3481945965680906,1.3339777290982109,1.3731690397955458,1.3870104084802695,0.019575240066705624,1.1574642504054269,1.4057758305951078,1.3733497626871123,1.3323859072654252,0.3593727617573768,-0.06083748964990056,H
